title,subtitle,author,publisher,genre,width,color,bookcase,compartment
3D Video and Its Applications,,"Matsuyama, Nobuhara, Takai, Tung",Springer,IT,20,"[0.09713948561923312, 0.3657463354990972, 0.0, 0.019513200733611045, 0.11033311059613006, 0.153191065868604, 0.2540768016833246, 0.0]",A,4
Advanced Methods in Computer Graphics,,Mukundan,Springer,IT,24,"[0.46807019183587634, 0.15217772273757507, 0.0, 0.0, 0.0, 0.11199967287426689, 0.2677524125522817, 0.0]",A,4
Antidiätbuch,,Susie Orbach,Frauenoffensive,Ratgeber,12,"[0.0, 0.793708281829419, 0.20629171817058095, 0.0, 0.0, 0.0, 0.0, 0.0]",A,4
Art and Technology of Entertainment Computing and Communication,,Cheok,Springer,IT,25,"[0.2068443573856524, 0.43198851941277217, 0.18740277901440835, 0.0, 0.0, 0.0001780748018917829, 0.1732877322173979, 0.00029853716787740076]",A,4
C Primer Plus,Fifth Edition,Prata,Sams,IT,49,"[4.170811410505857e-06, 0.11107496407888673, 0.0, 0.0, 0.0, 0.0, 0.8889208651097028, 0.0]",A,4
Das Dragonerhaus,,Marie Louise Fischer,Goldmann,Roman,23,"[0.004420891871874516, 0.9276983229317977, 0.010690520344714738, 0.0, 0.0, 0.0, 0.0315605748307717, 0.025629690020841346]",A,4
Das große Tafelwerk,Für kaufmännische Schulen,,Cornelsen,Schule,12,"[0.0, 0.3255766436614602, 0.6728606671509868, 0.0015626891875529724, 0.0, 0.0, 0.0, 0.0]",A,4
Dem Sieger eine Handvoll Erde,,Alistair MacLean,Lingen,Roman,40,"[0.00018481149227787656, 0.8792381770593994, 0.08129457952888054, 0.0, 0.0, 0.033967852790154046, 0.005314579129288126, 0.0]",A,4
Der Delta-Stern,,Joseph Wambaugh,Heyne,Roman,22,"[0.14186754197011658, 0.3809895031969091, 0.13472834820665366, 0.007891407665743495, 0.0, 0.027086538790303278, 0.3074366601702739, 0.0]",A,4
Der Fisch ohne Fahrrad,,Dunkel,Knaur,Roman,19,"[0.24790046871646462, 0.5726095114132805, 0.16976951889058897, 0.0, 0.0, 0.0, 0.0060441576604332685, 0.003676343319232607]",A,4
